"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260808","우이신설선","4.19민주묘지","2412","2208","20260811"
"20260808","경원선","가능","4835","4639","20260811"
"20260808","8호선","가락시장","5541","5638","20260811"
"20260808","3호선","가락시장","5957","5600","20260811"
"20260808","7호선","가산디지털단지","14101","12987","20260811"
"20260808","경부선","가산디지털단지","6234","7914","20260811"
"20260808","9호선","가양","15535","14686","20260811"
"20260808","우이신설선","가오리","3308","3162","20260811"
"20260808","경의선","가좌","4127","3963","20260811"
"20260808","분당선","가천대","5729","5662","20260811"
"20260808","경춘선","가평","2656","3431","20260811"
"20260808","경인선","간석","4066","3889","20260811"
"20260808","경춘선","갈매","1664","1403","20260811"
"20260808","2호선","강남","59254","57540","20260811"
"20260808","7호선","강남구청","9756","10852","20260811"
"20260808","분당선","강남구청","5147","6183","20260811"
"20260808","5호선","강동","13083","12230","20260811"
"20260808","8호선","강동구청","6345","6458","20260811"
"20260808","경의선","강매","1815","1632","20260811"
"20260808","2호선","강변(동서울터미널)","24954","23331","20260811"
"20260808","5호선","강일","4114","3691","20260811"
"20260808","경춘선","강촌","535","593","20260811"
"20260808","5호선","개롱","4211","4385","20260811"
"20260808","경인선","개봉","17351","16586","20260811"
"20260808","분당선","개포동","2538","2485","20260811"
"20260808","9호선","개화","1476","1176","20260811"
"20260808","5호선","개화산","4025","3869","20260811"
"20260808","5호선","거여","6359","6200","20260811"
"20260808","7호선","건대입구","12951","12956","20260811"
"20260808","2호선","건대입구","34373","37815","20260811"
"20260808","공항철도 1호선","검암","3923","3913","20260811"
"20260808","경강선","경기광주","5581","5383","20260811"
"20260808","과천선","경마공원","11488","11647","20260811"
"20260808","3호선","경복궁(정부서울청사)","16092","16699","20260811"
"20260808","3호선","경찰병원","4413","4341","20260811"
"20260808","공항철도 1호선","계양","6954","6584","20260811"
"20260808","5호선","고덕","7051","6787","20260811"
"20260808","6호선","고려대(종암)","5437","4898","20260811"
"20260808","수인선","고색","3210","3232","20260811"
"20260808","9호선","고속터미널","16558","24902","20260811"
"20260808","7호선","고속터미널","16057","12682","20260811"
"20260808","3호선","고속터미널","60374","56904","20260811"
"20260808","안산선","고잔","5516","5374","20260811"
"20260808","경의선","곡산","353","399","20260811"
"20260808","경강선","곤지암","1800","1803","20260811"
"20260808","경의선","공덕","3668","2496","20260811"
"20260808","공항철도 1호선","공덕","2383","3425","20260811"
"20260808","5호선","공덕","8009","8059","20260811"
"20260808","6호선","공덕","11419","11020","20260811"
"20260808","7호선","공릉(서울과학기술대)","8743","8536","20260811"
"20260808","9호선","공항시장","2170","2183","20260811"
"20260808","공항철도 1호선","공항화물청사","1177","2396","20260811"
"20260808","과천선","과천","4115","3685","20260811"
"20260808","경부선","관악","5067","5054","20260811"
"20260808","신림선","관악산(서울대)","4233","4139","20260811"
"20260808","5호선","광나루(장신대)","8046","7719","20260811"
"20260808","경부선","광명","2980","2413","20260811"
"20260808","7호선","광명사거리","16870","16874","20260811"
"20260808","경원선","광운대","6026","5832","20260811"
"20260808","5호선","광화문(세종문화회관)","19044","20008","20260811"
"20260808","6호선","광흥창(서강)","5822","5406","20260811"
"20260808","3호선","교대(법원.검찰청)","9129","4648","20260811"
"20260808","2호선","교대(법원.검찰청)","14915","18862","20260811"
"20260808","경부선","구로","13407","14029","20260811"
"20260808","2호선","구로디지털단지","35211","34093","20260811"
"20260808","분당선","구룡","2657","2525","20260811"
"20260808","중앙선","구리","5819","6483","20260811"
"20260808","9호선","구반포","2334","1974","20260811"
"20260808","6호선","구산","5953","4677","20260811"
"20260808","분당선","구성","5149","5203","20260811"
"20260808","2호선","구의(광진구청)","21164","20325","20260811"
"20260808","경인선","구일","12361","14675","20260811"
"20260808","3호선","구파발","17964","18436","20260811"
"20260808","중앙선","국수","564","553","20260811"
"20260808","9호선","국회의사당","5061","5213","20260811"
"20260808","7호선","군자(능동)","12163","9349","20260811"
"20260808","5호선","군자(능동)","9477","11177","20260811"
"20260808","경부선","군포","3587","3309","20260811"
"20260808","경춘선","굴봉산","154","147","20260811"
"20260808","5호선","굽은다리(강동구민회관앞)","8268","7953","20260811"
"20260808","경춘선","금곡","1133","1041","20260811"
"20260808","경의선","금릉","3681","3684","20260811"
"20260808","경부선","금정","19751","19710","20260811"
"20260808","경부선","금천구청","6419","6549","20260811"
"20260808","경의선","금촌","5540","5285","20260811"
"20260808","3호선","금호","5699","5268","20260811"
"20260808","분당선","기흥","7013","6482","20260811"
"20260808","5호선","길동","7104","7229","20260811"
"20260808","4호선","길음","14489","13344","20260811"
